H,f1,f2,f3
1,0.037037037,0.037037037,0.037037037
1,0.032407407,0.032407407,0.157407407
1,0.032407407,0.157407407,0.032407407
1,0.157407407,0.032407407,0.032407407
1,0.027777778,0.027777778,0.277777778
1,0.027777778,0.097222222,0.097222222
1,0.027777778,0.277777778,0.027777778
1,0.097222222,0.027777778,0.097222222
1,0.097222222,0.097222222,0.027777778
1,0.277777778,0.027777778,0.027777778
1,0.023148148,0.023148148,0.398148148
1,0.023148148,0.037037037,0.217592593
1,0.023148148,0.217592593,0.037037037
1,0.023148148,0.398148148,0.023148148
1,0.037037037,0.023148148,0.217592593
1,0.037037037,0.217592593,0.023148148
1,0.217592593,0.023148148,0.037037037
1,0.217592593,0.037037037,0.023148148
1,0.398148148,0.023148148,0.023148148
1,0.018518519,0.018518519,0.518518519
1,0.018518519,0.032407407,0.337962963
1,0.018518519,0.157407407,0.157407407
1,0.018518519,0.337962963,0.032407407
1,0.018518519,0.518518519,0.018518519
1,0.032407407,0.018518519,0.337962963
1,0.032407407,0.337962963,0.018518519
1,0.157407407,0.018518519,0.157407407
1,0.157407407,0.157407407,0.018518519
1,0.337962963,0.018518519,0.032407407
1,0.337962963,0.032407407,0.018518519
1,0.518518519,0.018518519,0.018518519
1,0.013888889,0.013888889,0.638888889
1,0.013888889,0.027777778,0.458333333
1,0.013888889,0.097222222,0.277777778
1,0.013888889,0.277777778,0.097222222
1,0.013888889,0.458333333,0.027777778
1,0.013888889,0.638888889,0.013888889
1,0.027777778,0.013888889,0.458333333
1,0.027777778,0.458333333,0.013888889
1,0.097222222,0.013888889,0.277777778
1,0.097222222,0.277777778,0.013888889
1,0.277777778,0.013888889,0.097222222
1,0.277777778,0.097222222,0.013888889
1,0.458333333,0.013888889,0.027777778
1,0.458333333,0.027777778,0.013888889
1,0.638888889,0.013888889,0.013888889
1,0.009259259,0.009259259,0.759259259
1,0.009259259,0.023148148,0.578703704
1,0.009259259,0.037037037,0.398148148
1,0.009259259,0.217592593,0.217592593
1,0.009259259,0.398148148,0.037037037
1,0.009259259,0.578703704,0.023148148
1,0.009259259,0.759259259,0.009259259
1,0.023148148,0.009259259,0.578703704
1,0.023148148,0.578703704,0.009259259
1,0.037037037,0.009259259,0.398148148
1,0.037037037,0.398148148,0.009259259
1,0.217592593,0.009259259,0.217592593
1,0.217592593,0.217592593,0.009259259
1,0.398148148,0.009259259,0.037037037
1,0.398148148,0.037037037,0.009259259
1,0.578703704,0.009259259,0.023148148
1,0.578703704,0.023148148,0.009259259
1,0.759259259,0.009259259,0.009259259
1,4.63E-03,4.63E-03,0.87962963
1,4.63E-03,0.018518519,0.699074074
1,4.63E-03,0.032407407,0.518518519
1,4.63E-03,0.157407407,0.337962963
1,4.63E-03,0.337962963,0.157407407
1,4.63E-03,0.518518519,0.032407407
1,4.63E-03,0.699074074,0.018518519
1,4.63E-03,0.87962963,4.63E-03
1,0.018518519,4.63E-03,0.699074074
1,0.018518519,0.699074074,4.63E-03
1,0.032407407,4.63E-03,0.518518519
1,0.032407407,0.518518519,4.63E-03
1,0.157407407,4.63E-03,0.337962963
1,0.157407407,0.337962963,4.63E-03
1,0.337962963,4.63E-03,0.157407407
1,0.337962963,0.157407407,4.63E-03
1,0.518518519,4.63E-03,0.032407407
1,0.518518519,0.032407407,4.63E-03
1,0.699074074,4.63E-03,0.018518519
