H,f1,f2,f3
1,0.333333333,0.333333333,0.333333333
1,0,0,1
1,0,1,0
1,1,0,0
2,0.333333333,0.333333333,0.333333333
2,0.166666667,0.166666667,0.666666667
2,0.166666667,0.666666667,0.166666667
2,0.666666667,0.166666667,0.166666667
2,0,0,1
2,0,0.5,0.5
2,0,1,0
2,0.5,0,0.5
2,0.5,0.5,0
2,1,0,0
3,0.333333333,0.333333333,0.333333333
3,0.222222222,0.222222222,0.555555556
3,0.222222222,0.555555556,0.222222222
3,0.555555556,0.222222222,0.222222222
3,0.111111111,0.111111111,0.777777778
3,0.111111111,0.444444444,0.444444444
3,0.111111111,0.777777778,0.111111111
3,0.444444444,0.111111111,0.444444444
3,0.444444444,0.444444444,0.111111111
3,0.777777778,0.111111111,0.111111111
3,0,0,1
3,0,0.333333333,0.666666667
3,0,0.666666667,0.333333333
3,0,1,0
3,0.333333333,0,0.666666667
3,0.333333333,0.666666667,0
3,0.666666667,0,0.333333333
3,0.666666667,0.333333333,0
3,1,0,0
4,0.333333333,0.333333333,0.333333333
4,0.25,0.25,0.5
4,0.25,0.5,0.25
4,0.5,0.25,0.25
4,0.166666667,0.166666667,0.666666667
4,0.166666667,0.416666667,0.416666667
4,0.166666667,0.666666667,0.166666667
4,0.416666667,0.166666667,0.416666667
4,0.416666667,0.416666667,0.166666667
4,0.666666667,0.166666667,0.166666667
4,0.083333333,0.083333333,0.833333333
4,0.083333333,0.333333333,0.583333333
4,0.083333333,0.583333333,0.333333333
4,0.083333333,0.833333333,0.083333333
4,0.333333333,0.083333333,0.583333333
4,0.333333333,0.583333333,0.083333333
4,0.583333333,0.083333333,0.333333333
4,0.583333333,0.333333333,0.083333333
4,0.833333333,0.083333333,0.083333333
4,0,0,1
4,0,0.25,0.75
4,0,0.5,0.5
4,0,0.75,0.25
4,0,1,0
4,0.25,0,0.75
4,0.25,0.75,0
4,0.5,0,0.5
4,0.5,0.5,0
4,0.75,0,0.25
4,0.75,0.25,0
4,1,0,0
5,0.333333333,0.333333333,0.333333333
5,0.266666667,0.266666667,0.466666667
5,0.266666667,0.466666667,0.266666667
5,0.466666667,0.266666667,0.266666667
5,0.2,0.2,0.6
5,0.2,0.4,0.4
5,0.2,0.6,0.2
5,0.4,0.2,0.4
5,0.4,0.4,0.2
5,0.6,0.2,0.2
5,0.133333333,0.133333333,0.733333333
