f1,f2,f3
0.333333333,0.333333333,0.333333333
0.291666667,0.291666667,0.416666667
0.291666667,0.416666667,0.291666667
0.416666667,0.291666667,0.291666667
0.25,0.25,0.5
0.25,0.375,0.375
0.25,0.5,0.25
0.375,0.25,0.375
0.375,0.375,0.25
0.5,0.25,0.25
0.208333333,0.208333333,0.583333333
0.208333333,0.333333333,0.458333333
0.208333333,0.458333333,0.333333333
0.208333333,0.583333333,0.208333333
0.333333333,0.208333333,0.458333333
0.333333333,0.458333333,0.208333333
0.458333333,0.208333333,0.333333333
0.458333333,0.333333333,0.208333333
0.583333333,0.208333333,0.208333333
0.166666667,0.166666667,0.666666667
0.166666667,0.291666667,0.541666667
0.166666667,0.416666667,0.416666667
0.166666667,0.541666667,0.291666667
0.166666667,0.666666667,0.166666667
0.291666667,0.166666667,0.541666667
0.291666667,0.541666667,0.166666667
0.416666667,0.166666667,0.416666667
0.416666667,0.416666667,0.166666667
0.541666667,0.166666667,0.291666667
0.541666667,0.291666667,0.166666667
0.666666667,0.166666667,0.166666667
0.125,0.125,0.75
0.125,0.25,0.625
0.125,0.375,0.5
0.125,0.5,0.375
0.125,0.625,0.25
0.125,0.75,0.125
0.25,0.125,0.625
0.25,0.625,0.125
0.375,0.125,0.5
0.375,0.5,0.125
0.5,0.125,0.375
0.5,0.375,0.125
0.625,0.125,0.25
0.625,0.25,0.125
0.75,0.125,0.125
0.083333333,0.083333333,0.833333333
0.083333333,0.208333333,0.708333333
0.083333333,0.333333333,0.583333333
0.083333333,0.458333333,0.458333333
0.083333333,0.583333333,0.333333333
0.083333333,0.708333333,0.208333333
0.083333333,0.833333333,0.083333333
0.208333333,0.083333333,0.708333333
0.208333333,0.708333333,0.083333333
0.333333333,0.083333333,0.583333333
0.333333333,0.583333333,0.083333333
0.458333333,0.083333333,0.458333333
0.458333333,0.458333333,0.083333333
0.583333333,0.083333333,0.333333333
0.583333333,0.333333333,0.083333333
0.708333333,0.083333333,0.208333333
0.708333333,0.208333333,0.083333333
0.833333333,0.083333333,0.083333333
0.041666667,0.041666667,0.916666667
0.041666667,0.166666667,0.791666667
0.041666667,0.291666667,0.666666667
0.041666667,0.416666667,0.541666667
0.041666667,0.541666667,0.416666667
0.041666667,0.666666667,0.291666667
0.041666667,0.791666667,0.166666667
0.041666667,0.916666667,0.041666667
0.166666667,0.041666667,0.791666667
0.166666667,0.791666667,0.041666667
0.291666667,0.041666667,0.666666667
0.291666667,0.666666667,0.041666667
0.416666667,0.041666667,0.541666667
0.416666667,0.541666667,0.041666667
0.541666667,0.041666667,0.416666667
0.541666667,0.416666667,0.041666667
0.666666667,0.041666667,0.291666667
0.666666667,0.291666667,0.041666667
0.791666667,0.041666667,0.166666667
0.791666667,0.166666667,0.041666667
0.916666667,0.041666667,0.041666667
0,0,1
0,0.125,0.875
0,0.25,0.75
0,0.375,0.625
0,0.5,0.5
0,0.625,0.375
0,0.75,0.25
0,0.875,0.125
0,1,0
0.125,0,0.875
0.125,0.875,0
0.25,0,0.75
0.25,0.75,0
0.375,0,0.625
0.375,0.625,0
0.5,0,0.5
0.5,0.5,0
0.625,0,0.375
0.625,0.375,0
0.75,0,0.25
0.75,0.25,0
0.875,0,0.125
0.875,0.125,0
1,0,0
