H,f1,f2,f3
1,0,0,1
1,0,1,0
1,1,0,0
2,0,0,1
2,0,0.5,0.5
2,0,1,0
2,0.5,0,0.5
2,0.5,0.5,0
2,1,0,0
3,0,0,1
3,0,0.333333333,0.666666667
3,0,0.666666667,0.333333333
3,0,1,0
3,0.333333333,0,0.666666667
3,0.333333333,0.333333333,0.333333333
3,0.333333333,0.666666667,0
3,0.666666667,0,0.333333333
3,0.666666667,0.333333333,0
3,1,0,0
4,0,0,1
4,0,0.25,0.75
4,0,0.5,0.5
4,0,0.75,0.25
4,0,1,0
4,0.25,0,0.75
4,0.25,0.25,0.5
4,0.25,0.5,0.25
4,0.25,0.75,0
4,0.5,0,0.5
4,0.5,0.25,0.25
4,0.5,0.5,0
4,0.75,0,0.25
4,0.75,0.25,0
4,1,0,0
5,0,0,1
5,0,0.2,0.8
5,0,0.4,0.6
5,0,0.6,0.4
5,0,0.8,0.2
5,0,1,0
5,0.2,0,0.8
5,0.2,0.2,0.6
5,0.2,0.4,0.4
5,0.2,0.6,0.2
5,0.2,0.8,0
5,0.4,0,0.6
5,0.4,0.2,0.4
5,0.4,0.4,0.2
5,0.4,0.6,0
5,0.6,0,0.4
5,0.6,0.2,0.2
5,0.6,0.4,0
5,0.8,0,0.2
5,0.8,0.2,0
5,1,0,0
6,0,0,1
6,0,0.166666667,0.833333333
6,0,0.333333333,0.666666667
6,0,0.5,0.5
6,0,0.666666667,0.333333333
6,0,0.833333333,0.166666667
6,0,1,0
6,0.166666667,0,0.833333333
6,0.166666667,0.166666667,0.666666667
6,0.166666667,0.333333333,0.5
6,0.166666667,0.5,0.333333333
6,0.166666667,0.666666667,0.166666667
6,0.166666667,0.833333333,0
6,0.333333333,0,0.666666667
6,0.333333333,0.166666667,0.5
6,0.333333333,0.333333333,0.333333333
6,0.333333333,0.5,0.166666667
6,0.333333333,0.666666667,0
6,0.5,0,0.5
6,0.5,0.166666667,0.333333333
6,0.5,0.333333333,0.166666667
6,0.5,0.5,0
6,0.666666667,0,0.333333333
6,0.666666667,0.166666667,0.166666667
6,0.666666667,0.333333333,0
6,0.833333333,0,0.166666667
6,0.833333333,0.166666667,0
6,1,0,0
7,0,0,1
7,0,0.142857143,0.857142857
7,0,0.285714286,0.714285714
7,0,0.428571429,0.571428571
7,0,0.571428571,0.428571429
7,0,0.714285714,0.285714286
7,0,0.857142857,0.142857143
7,0,1,0
7,0.142857143,0,0.857142857
7,0.142857143,0.142857143,0.714285714
7,0.142857143,0.285714286,0.571428571
7,0.142857143,0.428571429,0.428571429
7,0.142857143,0.571428571,0.285714286
7,0.142857143,0.714285714,0.142857143
7,0.142857143,0.857142857,0
7,0.285714286,0,0.714285714
7,0.285714286,0.142857143,0.571428571
7,0.285714286,0.285714286,0.428571429
7,0.285714286,0.428571429,0.285714286
7,0.285714286,0.571428571,0.142857143
7,0.285714286,0.714285714,0
7,0.428571429,0,0.571428571
7,0.428571429,0.142857143,0.428571429
7,0.428571429,0.285714286,0.285714286
7,0.428571429,0.428571429,0.142857143
7,0.428571429,0.571428571,0
7,0.571428571,0,0.428571429
7,0.571428571,0.142857143,0.285714286
7,0.571428571,0.285714286,0.142857143
7,0.571428571,0.428571429,0
7,0.714285714,0,0.285714286
7,0.714285714,0.142857143,0.142857143
7,0.714285714,0.285714286,0
7,0.857142857,0,0.142857143
7,0.857142857,0.142857143,0
7,1,0,0
8,0,0,1
8,0,0.125,0.875
8,0,0.25,0.75
8,0,0.375,0.625
8,0,0.5,0.5
8,0,0.625,0.375
8,0,0.75,0.25
8,0,0.875,0.125
8,0,1,0
8,0.125,0,0.875
8,0.125,0.125,0.75
8,0.125,0.25,0.625
8,0.125,0.375,0.5
8,0.125,0.5,0.375
8,0.125,0.625,0.25
8,0.125,0.75,0.125
8,0.125,0.875,0
8,0.25,0,0.75
8,0.25,0.125,0.625
8,0.25,0.25,0.5
8,0.25,0.375,0.375
8,0.25,0.5,0.25
8,0.25,0.625,0.125
8,0.25,0.75,0
8,0.375,0,0.625
8,0.375,0.125,0.5
8,0.375,0.25,0.375
8,0.375,0.375,0.25
8,0.375,0.5,0.125
8,0.375,0.625,0
8,0.5,0,0.5
8,0.5,0.125,0.375
8,0.5,0.25,0.25
8,0.5,0.375,0.125
8,0.5,0.5,0
8,0.625,0,0.375
8,0.625,0.125,0.25
8,0.625,0.25,0.125
8,0.625,0.375,0
8,0.75,0,0.25
8,0.75,0.125,0.125
8,0.75,0.25,0
8,0.875,0,0.125
8,0.875,0.125,0
8,1,0,0
9,0,0,1
9,0,0.111111111,0.888888889
9,0,0.222222222,0.777777778
9,0,0.333333333,0.666666667
9,0,0.444444444,0.555555556
9,0,0.555555556,0.444444444
9,0,0.666666667,0.333333333
9,0,0.777777778,0.222222222
9,0,0.888888889,0.111111111
9,0,1,0
9,0.111111111,0,0.888888889
9,0.111111111,0.111111111,0.777777778
9,0.111111111,0.222222222,0.666666667
9,0.111111111,0.333333333,0.555555556
9,0.111111111,0.444444444,0.444444444
9,0.111111111,0.555555556,0.333333333
9,0.111111111,0.666666667,0.222222222
9,0.111111111,0.777777778,0.111111111
9,0.111111111,0.888888889,0
9,0.222222222,0,0.777777778
9,0.222222222,0.111111111,0.666666667
9,0.222222222,0.222222222,0.555555556
9,0.222222222,0.333333333,0.444444444
9,0.222222222,0.444444444,0.333333333
9,0.222222222,0.555555556,0.222222222
9,0.222222222,0.666666667,0.111111111
9,0.222222222,0.777777778,0
9,0.333333333,0,0.666666667
9,0.333333333,0.111111111,0.555555556
9,0.333333333,0.222222222,0.444444444
9,0.333333333,0.333333333,0.333333333
9,0.333333333,0.444444444,0.222222222
9,0.333333333,0.555555556,0.111111111
9,0.333333333,0.666666667,0
9,0.444444444,0,0.555555556
9,0.444444444,0.111111111,0.444444444
9,0.444444444,0.222222222,0.333333333
9,0.444444444,0.333333333,0.222222222
9,0.444444444,0.444444444,0.111111111
9,0.444444444,0.555555556,0
9,0.555555556,0,0.444444444
9,0.555555556,0.111111111,0.333333333
9,0.555555556,0.222222222,0.222222222
9,0.555555556,0.333333333,0.111111111
9,0.555555556,0.444444444,0
9,0.666666667,0,0.333333333
9,0.666666667,0.111111111,0.222222222
9,0.666666667,0.222222222,0.111111111
9,0.666666667,0.333333333,0
9,0.777777778,0,0.222222222
9,0.777777778,0.111111111,0.111111111
9,0.777777778,0.222222222,0
9,0.888888889,0,0.111111111
9,0.888888889,0.111111111,0
9,1,0,0
10,0,0,1
10,0,0.1,0.9
10,0,0.2,0.8
10,0,0.3,0.7
10,0,0.4,0.6
10,0,0.5,0.5
10,0,0.6,0.4
10,0,0.7,0.3
10,0,0.8,0.2
10,0,0.9,0.1
10,0,1,0
10,0.1,0,0.9
10,0.1,0.1,0.8
10,0.1,0.2,0.7
10,0.1,0.3,0.6
10,0.1,0.4,0.5
10,0.1,0.5,0.4
10,0.1,0.6,0.3
10,0.1,0.7,0.2
10,0.1,0.8,0.1
10,0.1,0.9,0
10,0.2,0,0.8
10,0.2,0.1,0.7
10,0.2,0.2,0.6
10,0.2,0.3,0.5
10,0.2,0.4,0.4
10,0.2,0.5,0.3
10,0.2,0.6,0.2
10,0.2,0.7,0.1
10,0.2,0.8,0
10,0.3,0,0.7
10,0.3,0.1,0.6
10,0.3,0.2,0.5
10,0.3,0.3,0.4
10,0.3,0.4,0.3
10,0.3,0.5,0.2
10,0.3,0.6,0.1
10,0.3,0.7,0
10,0.4,0,0.6
10,0.4,0.1,0.5
10,0.4,0.2,0.4
10,0.4,0.3,0.3
10,0.4,0.4,0.2
10,0.4,0.5,0.1
10,0.4,0.6,0
10,0.5,0,0.5
10,0.5,0.1,0.4
10,0.5,0.2,0.3
10,0.5,0.3,0.2
10,0.5,0.4,0.1
10,0.5,0.5,0
10,0.6,0,0.4
10,0.6,0.1,0.3
10,0.6,0.2,0.2
10,0.6,0.3,0.1
10,0.6,0.4,0
10,0.7,0,0.3
10,0.7,0.1,0.2
10,0.7,0.2,0.1
10,0.7,0.3,0
10,0.8,0,0.2
10,0.8,0.1,0.1
10,0.8,0.2,0
10,0.9,0,0.1
10,0.9,0.1,0
10,1,0,0
11,0,0,1
11,0,0.090909091,0.909090909
11,0,0.181818182,0.818181818
11,0,0.272727273,0.727272727
11,0,0.363636364,0.636363636
11,0,0.454545455,0.545454545
11,0,0.545454545,0.454545455
11,0,0.636363636,0.363636364
11,0,0.727272727,0.272727273
11,0,0.818181818,0.181818182
11,0,0.909090909,0.090909091
11,0,1,0
11,0.090909091,0,0.909090909
11,0.090909091,0.090909091,0.818181818
11,0.090909091,0.181818182,0.727272727
11,0.090909091,0.272727273,0.636363636
11,0.090909091,0.363636364,0.545454545
11,0.090909091,0.454545455,0.454545455
11,0.090909091,0.545454545,0.363636364
11,0.090909091,0.636363636,0.272727273
11,0.090909091,0.727272727,0.181818182
11,0.090909091,0.818181818,0.090909091
11,0.090909091,0.909090909,0
11,0.181818182,0,0.818181818
11,0.181818182,0.090909091,0.727272727
11,0.181818182,0.181818182,0.636363636
11,0.181818182,0.272727273,0.545454545
11,0.181818182,0.363636364,0.454545455
11,0.181818182,0.454545455,0.363636364
11,0.181818182,0.545454545,0.272727273
11,0.181818182,0.636363636,0.181818182
11,0.181818182,0.727272727,0.090909091
11,0.181818182,0.818181818,0
11,0.272727273,0,0.727272727
11,0.272727273,0.090909091,0.636363636
11,0.272727273,0.181818182,0.545454545
11,0.272727273,0.272727273,0.454545455
11,0.272727273,0.363636364,0.363636364
11,0.272727273,0.454545455,0.272727273
11,0.272727273,0.545454545,0.181818182
11,0.272727273,0.636363636,0.090909091
11,0.272727273,0.727272727,0
11,0.363636364,0,0.636363636
11,0.363636364,0.090909091,0.545454545
11,0.363636364,0.181818182,0.454545455
11,0.363636364,0.272727273,0.363636364
11,0.363636364,0.363636364,0.272727273
11,0.363636364,0.454545455,0.181818182
11,0.363636364,0.545454545,0.090909091
11,0.363636364,0.636363636,0
11,0.454545455,0,0.545454545
11,0.454545455,0.090909091,0.454545455
11,0.454545455,0.181818182,0.363636364
11,0.454545455,0.272727273,0.272727273
11,0.454545455,0.363636364,0.181818182
11,0.454545455,0.454545455,0.090909091
11,0.454545455,0.545454545,0
11,0.545454545,0,0.454545455
11,0.545454545,0.090909091,0.363636364
11,0.545454545,0.181818182,0.272727273
11,0.545454545,0.272727273,0.181818182
11,0.545454545,0.363636364,0.090909091
11,0.545454545,0.454545455,0
11,0.636363636,0,0.363636364
11,0.636363636,0.090909091,0.272727273
11,0.636363636,0.181818182,0.181818182
11,0.636363636,0.272727273,0.090909091
11,0.636363636,0.363636364,0
11,0.727272727,0,0.272727273
11,0.727272727,0.090909091,0.181818182
11,0.727272727,0.181818182,0.090909091
11,0.727272727,0.272727273,0
11,0.818181818,0,0.181818182
11,0.818181818,0.090909091,0.090909091
11,0.818181818,0.181818182,0
11,0.909090909,0,0.090909091
11,0.909090909,0.090909091,0
11,1,0,0
12,0,0,1
12,0,0.083333333,0.916666667
12,0,0.166666667,0.833333333
12,0,0.25,0.75
12,0,0.333333333,0.666666667
12,0,0.416666667,0.583333333
12,0,0.5,0.5
12,0,0.583333333,0.416666667
12,0,0.666666667,0.333333333
12,0,0.75,0.25
12,0,0.833333333,0.166666667
12,0,0.916666667,0.083333333
12,0,1,0
12,0.083333333,0,0.916666667
12,0.083333333,0.083333333,0.833333333
12,0.083333333,0.166666667,0.75
12,0.083333333,0.25,0.666666667
12,0.083333333,0.333333333,0.583333333
12,0.083333333,0.416666667,0.5
12,0.083333333,0.5,0.416666667
12,0.083333333,0.583333333,0.333333333
12,0.083333333,0.666666667,0.25
12,0.083333333,0.75,0.166666667
12,0.083333333,0.833333333,0.083333333
12,0.083333333,0.916666667,0
12,0.166666667,0,0.833333333
12,0.166666667,0.083333333,0.75
12,0.166666667,0.166666667,0.666666667
12,0.166666667,0.25,0.583333333
12,0.166666667,0.333333333,0.5
12,0.166666667,0.416666667,0.416666667
12,0.166666667,0.5,0.333333333
12,0.166666667,0.583333333,0.25
12,0.166666667,0.666666667,0.166666667
12,0.166666667,0.75,0.083333333
12,0.166666667,0.833333333,0
12,0.25,0,0.75
12,0.25,0.083333333,0.666666667
12,0.25,0.166666667,0.583333333
12,0.25,0.25,0.5
12,0.25,0.333333333,0.416666667
12,0.25,0.416666667,0.333333333
12,0.25,0.5,0.25
12,0.25,0.583333333,0.166666667
12,0.25,0.666666667,0.083333333
12,0.25,0.75,0
12,0.333333333,0,0.666666667
12,0.333333333,0.083333333,0.583333333
12,0.333333333,0.166666667,0.5
12,0.333333333,0.25,0.416666667
12,0.333333333,0.333333333,0.333333333
12,0.333333333,0.416666667,0.25
12,0.333333333,0.5,0.166666667
12,0.333333333,0.583333333,0.083333333
12,0.333333333,0.666666667,0
12,0.416666667,0,0.583333333
12,0.416666667,0.083333333,0.5
12,0.416666667,0.166666667,0.416666667
12,0.416666667,0.25,0.333333333
12,0.416666667,0.333333333,0.25
12,0.416666667,0.416666667,0.166666667
12,0.416666667,0.5,0.083333333
12,0.416666667,0.583333333,0
12,0.5,0,0.5
12,0.5,0.083333333,0.416666667
12,0.5,0.166666667,0.333333333
12,0.5,0.25,0.25
12,0.5,0.333333333,0.166666667
12,0.5,0.416666667,0.083333333
12,0.5,0.5,0
12,0.583333333,0,0.416666667
12,0.583333333,0.083333333,0.333333333
12,0.583333333,0.166666667,0.25
12,0.583333333,0.25,0.166666667
12,0.583333333,0.333333333,0.083333333
12,0.583333333,0.416666667,0
12,0.666666667,0,0.333333333
12,0.666666667,0.083333333,0.25
12,0.666666667,0.166666667,0.166666667
12,0.666666667,0.25,0.083333333
12,0.666666667,0.333333333,0
12,0.75,0,0.25
12,0.75,0.083333333,0.166666667
12,0.75,0.166666667,0.083333333
12,0.75,0.25,0
12,0.833333333,0,0.166666667
12,0.833333333,0.083333333,0.083333333
12,0.833333333,0.166666667,0
12,0.916666667,0,0.083333333
12,0.916666667,0.083333333,0
12,1,0,0
13,0,0,1
13,0,0.076923077,0.923076923
13,0,0.153846154,0.846153846
13,0,0.230769231,0.769230769
13,0,0.307692308,0.692307692
13,0,0.384615385,0.615384615
13,0,0.461538462,0.538461538
13,0,0.538461538,0.461538462
