H,f1,f2,f3
1,0,0,1
2,0,1,0
3,1,0,0
4,0,0.453238,0.546762
5,0.431654,0.568346,0
6,0.690648,0,0.309352
7,0.294964,0,0.705036
8,0,0.784172,0.215828
9,0.841726,0.158274,0
10,0.482014,0,0.517986
11,0.172662,0.553956,0.273382
12,0.589928,0.410072,0
13,0,0.129496,0.870504
14,0.446044,0.215828,0.33813
15,0.143884,0.856116,0
16,0.143884,0.172662,0.683454
17,0.266188,0.309352,0.42446
18,0.294964,0.705036,0
19,0.805756,0,0.194244
20,0,0.66187,0.33813
21,0.158274,0,0.841726
22,0.395684,0.438848,0.165468
23,0,0.352518,0.647482
24,0.6259,0.15108,0.223022
25,0.755396,0.244604,0
26,0.330936,0.13669,0.532374
27,0.172662,0.726618,0.10072
28,0,0.568346,0.431654
29,0.582734,0,0.417266
30,0,0.928058,0.071942
31,0.928058,0,0.071942
32,0,0.208634,0.791366
33,0.510792,0.352518,0.13669
34,0.158274,0.395684,0.446044
35,0.640288,0.251798,0.107914
36,0.280576,0.467626,0.251798
37,0.366906,0,0.633094
38,0.179856,0.258992,0.561152
39,0.064748,0,0.935252
40,0.345324,0.582734,0.071942
41,0.496402,0.115108,0.38849
42,0.064748,0.690648,0.244604
43,0.676258,0.323742,0
44,0.13669,0.10072,0.76259
45,0.719424,0.079136,0.201438
46,0.215828,0.784172,0
47,0.323742,0.352518,0.323742
48,0.071942,0.928058,0
49,0.884892,0.079136,0.035972
50,0,0.294964,0.705036
51,0.47482,0.460432,0.064748
52,0.079136,0.467626,0.453238
53,0.05036,0.805756,0.143884
54,0.546762,0.23741,0.215828
55,0.215828,0,0.784172
56,0.244604,0.568346,0.18705
57,0.776978,0.13669,0.08633
58,0.230216,0.165468,0.604316
59,0.08633,0.323742,0.589928
60,0.61151,0.057554,0.330936
61,0.395684,0.05036,0.553956
62,0.410072,0.345324,0.244604
63,0.359712,0.640288,0
64,0,0.05036,0.94964
65,0.079136,0.604316,0.316546
66,0.877698,0,0.122302
67,0,0.877698,0.122302
